Accord;Notes;Description
Dbsus;Db - Gb - Ab;Db suspendu, est compose de la fondamentale, de la quarte juste et de la quinte juste
Dbdim;Db - E - G;Db diminue, est compose d'une tierce mineure et d'une quinte diminuee
Dbdim7;Db - E - G - Bb;Db diminue septieme, est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme diminuee
Dbm7b5;Db - E - G - B;Db mineur septieme quinte diminuee (semi-diminue), est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme mineure
Dbaug;Db - F - A;Db augmente, est compose d'une tierce majeure et d'une quinte augmentee
Dbaug7;Db - F - A - B;Db augmente septieme, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
;;
;;
D;D - F# - A;D majeur, est compose d'une tierce majeure et d'une quinte juste
Dm;D - F - A;D mineur, est compose d'une tierce mineure et d'une quinte juste
D7;D - F# - A - C;D 7eme, est compose d'une tierce majeure, d'une quinte juste et d'une septieme mineure
Dm7;D - F - A - C;D mineur 7eme, est compose d'une tierce mineure, d'une quinte juste et d'une septieme mineure
DMaj7;D - F# - A - C#;D mineur, est compose d'une tierce mineure et d'une quinte juste
DmM7;D - F - A - C#;D mineur, est compose d'une tierce mineure et d'une quinte juste
D6;D - F# - A - B;D sixte, est compose d'une tierce majeure, d'une quinte juste et d'une sixte majeure
Dm6;D - F - A - B;D mineur sixte, est compose d'une tierce mineure, d'une quinte juste et d'une sixte majeure
D6/9;D - F# - A - B - E;D sixte et neuvieme, est compose d'une tierce majeure, d'une quinte juste, d'une sixte majeure et d'une neuvieme majeure
D5;D -  A;D quinte juste, est compose uniquement de la fondamentale et de la quinte juste
D9;D - F# - A - C - E;D majeur, est compose d'une tierce majeure et d'une quinte juste
Dm9;D - F - A - C - E;D mineur neuvieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une neuvieme majeure
DMaj9;D - F# - A - C# - E;D mineur, est compose d'une tierce mineure et d'une quinte juste
D11;D - F# - A - C - E - G;D majeur, est compose d'une tierce majeure et d'une quinte juste
Dm11;D - F - A - C - E - G;D mineur onzieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une onzieme juste
DMaj11;D - F# - A - C# - E - G;D mineur, est compose d'une tierce mineure et d'une quinte juste
D13;D - F# - A - C - E - G - B;D majeur, est compose d'une tierce majeure et d'une quinte juste
Dm13;D - F - A - C - E - G - B;D mineur treizieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une treizieme majeure
DMaj13;D - F# - A - C# - E - B;D mineur, est compose d'une tierce mineure et d'une quinte juste
Dadd;D - F# - A - E;D add, est compose d'une tierce majeure, d'une quinte juste et d'une note ajoutee (ex. 2, 4 ou 6)
D7-5;D  - F# - Ab - C;D septieme quinte diminuee, est compose d'une tierce majeure, d'une quinte diminuee et d'une septieme mineure
D7+5;D  - F# - A# - C;D septieme quinte augmentee, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
Dsus;D - G - A;D suspendu, est compose de la fondamentale, de la quarte juste et de la quinte juste
Ddim;D - F - Ab;D diminue, est compose d'une tierce mineure et d'une quinte diminuee
Ddim7;D - F - Ab - B;D diminue septieme, est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme diminuee
Dm7b5;D - F -  Ab - C;D mineur septieme quinte diminuee (semi-diminue), est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme mineure
Daug;D - F# - A#;D augmente, est compose d'une tierce majeure et d'une quinte augmentee
Daug7;D - F# - A# - C;D augmente septieme, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
;;
;;
D#;"D# - G - A# ; D# - F## - A#";D# majeur, est compose d'une tierce majeure et d'une quinte juste
D#m;D# - F# - A#;D# mineur, est compose d'une tierce mineure et d'une quinte juste
D#7;D# - G - A# - C#;D# 7eme, est compose d'une tierce majeure, d'une quinte juste et d'une septieme mineure
D#m7;D# - F# - A# - C#;D# mineur 7eme, est compose d'une tierce mineure, d'une quinte juste et d'une septieme mineure
D#Maj7;"D# - G - A# - D ; D# - G - A# - C##";D# mineur, est compose d'une tierce mineure et d'une quinte juste
D#mM7;D# - F# - A# - D;D# mineur, est compose d'une tierce mineure et d'une quinte juste
D#6;D# - G - A# - C;D# sixte, est compose d'une tierce majeure, d'une quinte juste et d'une sixte majeure
D#m6;D# - F# - A# - C;D# mineur sixte, est compose d'une tierce mineure, d'une quinte juste et d'une sixte majeure
D#6/9;"D# - G - A# - C - F ; D# - F## - A# - B# - E#";D# sixte et neuvieme, est compose d'une tierce majeure, d'une quinte juste, d'une sixte majeure et d'une neuvieme majeure
D#5;D# -  A#;D# quinte juste, est compose uniquement de la fondamentale et de la quinte juste
D#9;"D# - G - A# - C# - F ; D# - F## - A# - C# - E#";D# majeur, est compose d'une tierce majeure et d'une quinte juste
D#m9;"D# - F# - A# - C# - F ; D# - F# - A# - C# - E#";D# mineur neuvieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une neuvieme majeure
D#Maj9;"D# - G - A# - D - F ; D# - G - A# - D - E#";D# mineur, est compose d'une tierce mineure et d'une quinte juste
D#11;"D# - G - A# - C# - F - G# ; D# - F## - A# - C# - E# - G#";D# majeur, est compose d'une tierce majeure et d'une quinte juste
D#m11;"D# - F# - A# - C# - F - G# ; D# - F# - A# - C# - E# - G#";D# mineur onzieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une onzieme juste
D#Maj11;"D# - G - A# - D - F -  G# ; D# - F## - A# - C## - E# - G#";D# mineur, est compose d'une tierce mineure et d'une quinte juste
D#13;"D# - G - A# - C# - F - G# - C ; D# - F## - A# - C# - E# - G# - B#";D# majeur, est compose d'une tierce majeure et d'une quinte juste
D#m13;"D# - F# - A# - C# - F - G# - C ; D# - F# - A# - C# - E# - G# - B#";D# mineur treizieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une treizieme majeure
D#Maj13;"D# - G - A# - D - F -  C ; D# - G - A# - C## - F - B#";D# mineur, est compose d'une tierce mineure et d'une quinte juste
D#add;"D# - G - A# - F ; D# - F## - A# - E#";D# add, est compose d'une tierce majeure, d'une quinte juste et d'une note ajoutee (ex. 2, 4 ou 6)
D#7-5;"D# - G - A - C# ; D# - F## - A - C#";D# septieme quinte diminuee, est compose d'une tierce majeure, d'une quinte diminuee et d'une septieme mineure
D#7+5;"D# - G - B - C# ; D# - F## - B - C#";D# septieme quinte augmentee, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
D#sus;D# - G# - A#;D# suspendu, est compose de la fondamentale, de la quarte juste et de la quinte juste
D#dim;D# - F# - A;D# diminue, est compose d'une tierce mineure et d'une quinte diminuee
D#dim7;"D# - F# - A - C ; D# - F# - A - B#";D# diminue septieme, est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme diminuee
D#m7b5;D# - F# - A - C#;D# mineur septieme quinte diminuee (semi-diminue), est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme mineure
D#aug;"D# - G - B ; D# - F## - B";D# augmente, est compose d'une tierce majeure et d'une quinte augmentee
D#aug7;"D# - G - B - C# ; D# - F## - B - C#";D# augmente septieme, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
;;
;;
Eb;Eb - G - Bb;Eb majeur, est compose d'une tierce majeure et d'une quinte juste
Ebm;Eb - Gb - Bb;Eb mineur, est compose d'une tierce mineure et d'une quinte juste
Eb7;Eb - G - Bb - Db;Eb 7eme, est compose d'une tierce majeure, d'une quinte juste et d'une septieme mineure
Ebm7;Eb - Gb - Bb - Db;Eb mineur 7eme, est compose d'une tierce mineure, d'une quinte juste et d'une septieme mineure
EbMaj7;Eb - G - Bb - D;Eb mineur, est compose d'une tierce mineure et d'une quinte juste
EbmM7;Eb - Gb - Bb - D;Eb mineur, est compose d'une tierce mineure et d'une quinte juste
Eb6;Eb - G - Bb - C;Eb sixte, est compose d'une tierce majeure, d'une quinte juste et d'une sixte majeure
Ebm6;Eb - Gb - Bb - C;Eb mineur sixte, est compose d'une tierce mineure, d'une quinte juste et d'une sixte majeure
Eb6/9;Eb - G - Bb - C - F;Eb sixte et neuvieme, est compose d'une tierce majeure, d'une quinte juste, d'une sixte majeure et d'une neuvieme majeure
Eb5;Eb -  Bb;Eb quinte juste, est compose uniquement de la fondamentale et de la quinte juste
Eb9;Eb - G - Bb - Db - F;Eb majeur, est compose d'une tierce majeure et d'une quinte juste
Ebm9;Eb - Gb - Bb - Db - F;Eb mineur neuvieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une neuvieme majeure
EbMaj9;Eb - G - Bb - D - F;Eb mineur, est compose d'une tierce mineure et d'une quinte juste
Eb11;Eb - G - Bb - Db - F - Ab;Eb majeur, est compose d'une tierce majeure et d'une quinte juste
Ebm11;Eb - Gb - Bb - Db - F - Ab;Eb mineur onzieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une onzieme juste
EbMaj11;Eb - G - Bb - D - F -  Ab;Eb mineur, est compose d'une tierce mineure et d'une quinte juste
Eb13;Eb - G - Bb - Db - F - Ab - C;Eb majeur, est compose d'une tierce majeure et d'une quinte juste
Ebm13;Eb - Gb - Bb - Db - F - Ab - C;Eb mineur treizieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une treizieme majeure
EbMaj13;Eb - G - Bb - D - F -  C;Eb mineur, est compose d'une tierce mineure et d'une quinte juste
Ebadd;Eb - G - Bb - F;Eb add, est compose d'une tierce majeure, d'une quinte juste et d'une note ajoutee (ex. 2, 4 ou 6)
Eb7-5;Eb - G - A - Db;Eb septieme quinte diminuee, est compose d'une tierce majeure, d'une quinte diminuee et d'une septieme mineure
Eb7+5;Eb - G - B - Db;Eb septieme quinte augmentee, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
Ebsus;Eb - Ab - Bb;Eb suspendu, est compose de la fondamentale, de la quarte juste et de la quinte juste
Ebdim;Eb - Gb - A;Eb diminue, est compose d'une tierce mineure et d'une quinte diminuee
Ebdim7;Eb - Gb - A - C;Eb diminue septieme, est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme diminuee
Ebm7b5;Eb - Gb - A - Db;Eb mineur septieme quinte diminuee (semi-diminue), est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme mineure
Ebaug;Eb - G - B;Eb augmente, est compose d'une tierce majeure et d'une quinte augmentee
Ebaug7;Eb - G - B - Db;Eb augmente septieme, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
;;
;;
E;E - G# - B;E majeur, est compose d'une tierce majeure et d'une quinte juste
Em;E - G - B;E mineur, est compose d'une tierce mineure et d'une quinte juste
E7;E - G# - B - D;E 7eme, est compose d'une tierce majeure, d'une quinte juste et d'une septieme mineure
Em7;E - G - B - D;E mineur 7eme, est compose d'une tierce mineure, d'une quinte juste et d'une septieme mineure
EMaj7;E - G# - B - D#;E mineur, est compose d'une tierce mineure et d'une quinte juste
EmM7;E - G - B - D#;E mineur, est compose d'une tierce mineure et d'une quinte juste
E6;E - G# - B - C#;E sixte, est compose d'une tierce majeure, d'une quinte juste et d'une sixte majeure
Em6;E - G - B - C#;E mineur sixte, est compose d'une tierce mineure, d'une quinte juste et d'une sixte majeure
E6/9;E - G# - B - C# - F#;E sixte et neuvieme, est compose d'une tierce majeure, d'une quinte juste, d'une sixte majeure et d'une neuvieme majeure
E5;E -  B;E quinte juste, est compose uniquement de la fondamentale et de la quinte juste
E9;E - G# - B - D - F#;E majeur, est compose d'une tierce majeure et d'une quinte juste
Em9;E - G - B - D - F#;E mineur neuvieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une neuvieme majeure
EMaj9;E - G# - B - D# - F#;E mineur, est compose d'une tierce mineure et d'une quinte juste
E11;E - G# - B - D - F# - A;E majeur, est compose d'une tierce majeure et d'une quinte juste
Em11;E - G - B - D - F# - A;E mineur onzieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une onzieme juste
EMaj11;E - G# - B - D# - F# -  A;E mineur, est compose d'une tierce mineure et d'une quinte juste
E13;E - G# - B - D - F# - A - C#;E majeur, est compose d'une tierce majeure et d'une quinte juste
Em13;E - G - B - D - F# - A - C#;E mineur treizieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une treizieme majeure
